mean,std,max,min,label,filename
-2.1767239862432083e-13,12539.521522217863,173621.30591666666,-206833.69408333334,1,KC.TARG..HHZ_2024-01-31T19_19_42.729_2024-01-31T19_23_42.729.mseed
8.828161905209224e-13,23517.89467065005,189679.62025,-179083.37975,1,KC.TARG..HHZ_2024-02-03T16_33_03.399_2024-02-03T16_37_03.399.mseed
4.3655745685100556e-14,18994.72911172119,470405.270875,-414589.729125,1,KC.TARG..HHZ_2024-02-23T10_31_21.930_2024-02-23T10_35_21.930.mseed
3.104408582051595e-13,233740.879144586,1959406.9100416666,-1867360.0899583334,1,KC.TARG..HHZ_2024-02-25T04_13_13.963_2024-02-25T04_17_13.963.mseed
-1.2320621560017268e-12,81545.40736386535,894195.286875,-914695.713125,1,KC.TARG..HHZ_2024-02-23T22_57_13.177_2024-02-23T23_01_13.177.mseed
-1.358178754647573e-13,106212.2646889017,1024631.668375,-1109556.331625,1,KC.TARG..HHZ_2024-01-25T19_59_45.131_2024-01-25T20_03_45.131.mseed
-1.7128816883390148e-13,1989.983035636171,20041.1055,-28888.8945,1,KC.TARG..HHZ_2024-02-28T01_16_06.231_2024-02-28T01_20_06.231.mseed
-2.7318795522054036e-11,337337.19547155936,1783018.6725833334,-1687097.3274166666,1,KC.TARG..HHZ_2024-01-22T18_12_30.954_2024-01-22T18_16_30.954.mseed
-1.940255363782247e-14,3038.2008290993126,33655.8355,-39236.1645,1,KC.TARG..HHZ_2024-01-23T00_20_45.455_2024-01-23T00_24_45.455.mseed
-3.516712846855323e-14,1595.5603310256447,13012.822708333333,-17379.177291666667,1,KC.TARG..HHZ_2024-01-24T04_56_43.913_2024-01-24T05_00_43.913.mseed
1.291482476517558e-13,8120.145360674797,111703.86845833334,-127006.13154166666,1,KC.TARG..HHZ_2024-01-23T11_05_21.964_2024-01-23T11_09_21.964.mseed
6.366462912410498e-14,2915.593419092511,43351.943333333336,-38051.056666666664,1,KC.TARG..HHZ_2024-01-24T21_48_26.965_2024-01-24T21_52_26.965.mseed
8.306718276192745e-14,18693.570470252303,368029.0733333333,-338985.9266666667,1,KC.TARG..HHZ_2023-04-11T17_06_38.894_2023-04-11T17_10_38.894.mseed
1.3339255626002947e-14,3378.012570997625,30606.332125,-41351.667875,1,KC.TARG..HHZ_2024-01-23T01_56_48.130_2024-01-23T02_00_48.130.mseed
4.0624096679190795e-14,4918.497865539808,52278.255875,-67890.744125,1,KC.TARG..HHZ_2024-01-23T19_18_35.551_2024-01-23T19_22_35.551.mseed
1.3642420526593924e-15,2784.6980678730633,35118.11083333333,-32109.889166666668,1,KC.TARG..HHZ_2024-01-23T13_45_33.096_2024-01-23T13_49_33.096.mseed
-3.516712846855323e-14,7566.604266219377,115210.18375,-112315.81625,1,KC.TARG..HHZ_2024-01-24T15_02_32.405_2024-01-24T15_06_32.405.mseed
2.1585340922077498e-13,5730.836469999093,56222.26591666666,-82752.73408333333,1,KC.TARG..HHZ_2024-01-22T22_18_19.987_2024-01-22T22_22_19.987.mseed
1.0307606620093186e-13,2503.699021509441,33003.326,-27521.674,1,KC.TARG..HHZ_2024-01-24T16_18_30.224_2024-01-24T16_22_30.224.mseed
1.382431946694851e-13,6919.6743025007045,105139.896625,-87461.103375,1,KC.TARG..HHZ_2024-01-22T21_36_53.916_2024-01-22T21_40_53.916.mseed
1.9160021717349688e-13,2735.152840585207,39002.83858333333,-37185.16141666667,1,KC.TARG..HHZ_2024-01-22T21_19_18.711_2024-01-22T21_23_18.711.mseed
-1.9887617478768032e-13,3956.88797369094,41796.30658333333,-40079.69341666667,1,KC.TARG..HHZ_2024-01-22T20_46_50.573_2024-01-22T20_50_50.573.mseed
1.358178754647573e-13,1872.9550218124937,14085.370833333334,-14407.629166666666,1,KC.TARG..HHZ_2024-01-23T04_29_18.679_2024-01-23T04_33_18.679.mseed
-1.2429760924230019e-13,1977.054246198221,20651.8725,-17394.1275,1,KC.TARG..HHZ_2024-01-23T11_29_51.312_2024-01-23T11_33_51.312.mseed
2.4253192047278088e-14,1636.617770614963,16353.837625,-12210.162375,1,KC.TARG..HHZ_2024-01-22T21_23_59.164_2024-01-22T21_27_59.164.mseed
-1.64921705921491e-13,16786.33295230154,219726.98808333333,-221057.01191666667,1,KC.TARG..HHZ_2024-01-24T14_59_36.470_2024-01-24T15_03_36.470.mseed
9.458744898438453e-14,6296.985181754885,57293.087375,-59723.912625,1,KC.TARG..HHZ_2024-01-23T04_24_04.857_2024-01-23T04_28_04.857.mseed
-4.268561800320943e-13,32122.23344818183,360980.4429166667,-327400.5570833333,1,KC.TARG..HHZ_2024-01-22T20_55_29.740_2024-01-22T20_59_29.740.mseed
1.6977234433094662e-14,2315.0942439340524,23378.313041666668,-22655.686958333332,1,KC.TARG..HHZ_2024-01-23T01_38_39.465_2024-01-23T01_42_39.465.mseed
-5.06891713788112e-13,17494.843171353932,252084.27625,-216872.72375,1,KC.TARG..HHZ_2024-01-24T20_33_26.077_2024-01-24T20_37_26.077.mseed
1.5522042910257975e-13,2455.450446449566,7885.807458333334,-18820.192541666667,1,KC.TARG..HHZ_2024-01-22T21_10_57.199_2024-01-22T21_14_57.199.mseed
5.044663945833842e-13,81127.08347796844,721815.7973333333,-796636.2026666667,1,KC.TARG..HHZ_2024-01-22T23_17_42.719_2024-01-22T23_21_42.719.mseed
-4.190951585769653e-12,118993.48292245298,822455.33225,-919996.66775,1,KC.TARG..HHZ_2024-01-23T01_16_57.640_2024-01-23T01_20_57.640.mseed
-7.882287415365378e-14,2507.0416692967237,37154.70875,-27925.29125,1,KC.TARG..HHZ_2024-01-23T09_45_36.396_2024-01-23T09_49_36.396.mseed
1.709850039333105e-13,11479.848697404552,248409.84270833334,-166881.15729166666,1,KC.TARG..HHZ_2024-01-24T18_43_34.143_2024-01-24T18_47_34.143.mseed
1.5522042910257975e-13,4760.966682062836,60570.14970833333,-56331.85029166667,1,KC.TARG..HHZ_2024-01-22T20_07_02.809_2024-01-22T20_11_02.809.mseed
1.7462298274040223e-13,22568.77130476115,169230.25595833332,-169524.74404166668,1,KC.TARG..HHZ_2024-01-22T20_27_47.167_2024-01-22T20_31_47.167.mseed
1.8584008406226834e-13,1988.6900842742562,19269.665708333334,-17335.334291666666,1,KC.TARG..HHZ_2024-01-23T13_34_38.402_2024-01-23T13_38_38.402.mseed
1.2065963043520847e-13,4993.471250503667,54970.316125,-56946.683875,1,KC.TARG..HHZ_2024-01-22T22_54_56.779_2024-01-22T22_58_56.779.mseed
3.4924596548080445e-13,17054.754407923516,184936.26004166665,-150775.73995833335,1,KC.TARG..HHZ_2023-02-26T21_40_42.786_2023-02-26T21_44_42.786.mseed
1.4370016288012266e-13,7447.127636375802,154370.66666666666,-114767.33333333333,1,KC.TARG..HHZ_2024-01-23T02_09_38.611_2024-01-23T02_13_38.611.mseed
